场景路径,章节名称,所有Clip类型,不同Clip类型数量,总Clip数量,Clip类型详情
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_greeting,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_power_conclusion,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor",4,4,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1, 'scnbeventsSocketDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_pissed_02,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",6,7,"{'toolsLookAtDescriptor': 2, 'toolsDialogLineEventDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor",3,3,"{'toolsDialogLineEventDescriptor': 1, 'toolsLookAtDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_restaurant_crew_comment,"toolsDialogLineEventDescriptor, toolsLookAtDescriptor",2,3,"{'toolsDialogLineEventDescriptor': 1, 'toolsLookAtDescriptor': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_relax_johnny,"scnbeventsChangeWorkEvent, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",5,6,"{'toolsLookAtDescriptor': 2, 'toolsDialogLineEventDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_no_love_for_corpo,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor",4,5,"{'toolsDialogLineEventDescriptor': 2, 'scnbeventsChangeWorkEvent': 1, 'scnbeventsSocketDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_drinking,"scnbeventsAttachPropDescriptor, scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, scnbeventsVFXEventDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor",6,11,"{'scnbeventsVFXEventDescriptor': 2, 'toolsLookAtDescriptor': 2, 'toolsDialogLineEventDescriptor': 1, 'scnbeventsSocketDescriptor': 3, 'scnbeventsAttachPropDescriptor': 2, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_getting_from_the_bar,"scnbeventsVFXEventDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsVFXEventDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_getting_from_the_bar_2,"scnbeventsVFXEventDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsVFXEventDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_player_sitting_animation,"scnbeventsAttachPropDescriptor, scnbeventsCameraClipDescriptor, scnbeventsChangeWorkEvent, toolsDialogLineEventDescriptor",4,5,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsAttachPropDescriptor': 2, 'scnbeventsCameraClipDescriptor': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_street_guards_lookats,"toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor",3,5,"{'toolsDialogLineEventDescriptor': 1, 'toolsLookAtDescriptor': 2, 'toolsChangeIdleAnimDescriptor': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_street_guard_movement,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor",4,6,"{'toolsDialogLineEventDescriptor': 1, 'toolsLookAtDescriptor': 2, 'scnbeventsChangeWorkEvent': 1, 'scnbeventsSocketDescriptor': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_walking_into_frame,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, scnbeventsVFXEventDescriptor, toolsDialogLineEventDescriptor",4,4,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsVFXEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_walking_into_frame_02,"scnbeventsAttachPropDescriptor, scnbeventsChangeWorkEvent, toolsDialogLineEventDescriptor, toolsLookAtDescriptor",4,4,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsAttachPropDescriptor': 1, 'scnbeventsChangeWorkEvent': 1, 'toolsLookAtDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_02_nod,"toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,"scnbeventsChangeWorkEvent, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_street_guard_to_hanako,"scnbeventsSocketDescriptor, scnbeventsVFXEventDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",6,10,"{'scnbeventsVFXEventDescriptor': 2, 'toolsLookAtDescriptor': 1, 'toolsDialogLineEventDescriptor': 2, 'toolsChangeIdleAnimDescriptor': 2, 'scnbeventsSocketDescriptor': 2, 'toolsPlaySkAnimDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_getting_from_the_bar_animation,"scnbeventsCameraClipDescriptor, scnbeventsSocketDescriptor, scnbeventsStopWorkEvent, scnbeventsVFXEventDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",7,12,"{'scnbeventsVFXEventDescriptor': 2, 'toolsDialogLineEventDescriptor': 1, 'scnbeventsStopWorkEvent': 1, 'scnbeventsCameraClipDescriptor': 2, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 4, 'toolsPlaySkAnimDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_drinking,"scnbeventsAttachPropDescriptor, scnbeventsVFXEventDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",5,9,"{'scnbeventsVFXEventDescriptor': 3, 'toolsDialogLineEventDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsAttachPropDescriptor': 2, 'toolsPlaySkAnimDescriptor': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_stopping_scenespots,"scnbeventsAttachPropDescriptor, scnbeventsChangeWorkEvent, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",4,6,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsAttachPropDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsChangeWorkEvent': 3}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_08,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsLookAtAdvancedDescriptor, toolsPlaySkAnimDescriptor",4,5,"{'toolsDialogLineEventDescriptor': 1, 'toolsLookAtAdvancedDescriptor': 2, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_01_lookat,"toolsDialogLineEventDescriptor, toolsLookAtDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'toolsLookAtDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_animations,"scnbeventsChangeWorkEvent, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor",4,5,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1, 'toolsLookAtDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_09,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_02_moving_back,"scnbeventsChangeWorkEvent, toolsDialogLineEventDescriptor",2,3,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_02_to_stand_hands_back,"scnbeventsChangeWorkEvent, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_AV_sfx,"toolsAudioEventDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'toolsAudioEventDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_02_ending_scenespot,"scnbeventsChangeWorkEvent, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_01_ending_scenespot,"scnbeventsChangeWorkEvent, toolsDialogLineEventDescriptor",2,3,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_02_backtopose,"scnbeventsChangeWorkEvent, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor",4,7,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 2, 'toolsLookAtDescriptor': 2, 'toolsChangeIdleAnimDescriptor': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_pose,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor",3,4,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1, 'scnbeventsSocketDescriptor': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_by_the_stairs,"scnbeventsChangeWorkEvent, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_getting_up,"toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_by_the_window,"scnbeventsChangeWorkEvent, toolsDialogLineEventDescriptor, toolsLookAtDescriptor",3,3,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1, 'toolsLookAtDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guards_scenespots,"scnbeventsChangeWorkEvent, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_11,"scnbeventsChangeWorkEvent, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",4,5,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsChangeWorkEvent': 1, 'toolsLookAtDescriptor': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_12,"toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_sickness_lvl2_play,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_sickness_lvl1_play,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_sickness_lvl1_break,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_jackie_revealed,toolsDialogLineEventDescriptor,1,2,{'toolsDialogLineEventDescriptor': 2}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_jackie_how,toolsDialogLineEventDescriptor,1,4,{'toolsDialogLineEventDescriptor': 4}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_lie,toolsDialogLineEventDescriptor,1,3,{'toolsDialogLineEventDescriptor': 3}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_talk_jackie,toolsDialogLineEventDescriptor,1,3,{'toolsDialogLineEventDescriptor': 3}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_NEW_about_yorinobu,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",6,16,"{'toolsLookAtDescriptor': 4, 'toolsDialogLineEventDescriptor': 5, 'toolsChangeIdleAnimDescriptor': 2, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 2, 'scnbeventsChangeWorkEvent': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_time,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",3,3,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_shock,"scnbeventsChangeWorkEvent, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",3,5,"{'toolsDialogLineEventDescriptor': 2, 'toolsPlaySkAnimDescriptor': 2, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_conclusion,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",5,16,"{'toolsLookAtDescriptor': 5, 'toolsDialogLineEventDescriptor': 3, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 5, 'scnbeventsChangeWorkEvent': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_power,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",3,3,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_family,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",4,6,"{'toolsDialogLineEventDescriptor': 2, 'toolsPlaySkAnimDescriptor': 2, 'scnbeventsChangeWorkEvent': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_corporation,toolsDialogLineEventDescriptor,1,1,{'toolsDialogLineEventDescriptor': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_dont_know,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",3,3,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_family_answer,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",4,6,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 3, 'scnbeventsChangeWorkEvent': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_ym mo,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",3,3,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_cut_to_the_chase,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",4,5,"{'toolsDialogLineEventDescriptor': 2, 'toolsPlaySkAnimDescriptor': 1, 'toolsLookAtDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_common_section,"scnbeventsChangeWorkEvent, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",3,14,"{'toolsDialogLineEventDescriptor': 6, 'toolsPlaySkAnimDescriptor': 6, 'scnbeventsChangeWorkEvent': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_soulkiller_do_you_have,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",3,3,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_waitress_bow,"toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",2,8,"{'toolsPlaySkAnimDescriptor': 2, 'toolsLookAtDescriptor': 6}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_to_hanako,"scnbeventsChangeWorkEvent, scnbeventsStopWorkEvent, toolsLookAtDescriptor",3,5,"{'scnbeventsStopWorkEvent': 1, 'scnbeventsChangeWorkEvent': 2, 'toolsLookAtDescriptor': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_cheeky_move,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_block_door_anim,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, scnbeventsVFXEventDescriptor",3,3,"{'scnbeventsSocketDescriptor': 1, 'scnbeventsVFXEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_15,scnbeventsStopWorkEvent,1,1,{'scnbeventsStopWorkEvent': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_eye_glow,"scnbeventsSocketDescriptor, scnbeventsVFXEventDescriptor",2,3,"{'scnbeventsSocketDescriptor': 1, 'scnbeventsVFXEventDescriptor': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_stop_anim,toolsPlaySkAnimDescriptor,1,1,{'toolsPlaySkAnimDescriptor': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_AV_sfx,"toolsAudioEventDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'toolsAudioEventDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_sitting_idle,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_sitting_idle,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_player_cough,"scnbeventsVFXDurationEventDescriptor, toolsAudioEventDescriptor, toolsPlaySkAnimDescriptor",3,3,"{'scnbeventsVFXDurationEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'toolsAudioEventDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_,"toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",2,3,"{'toolsPlaySkAnimDescriptor': 1, 'toolsLookAtDescriptor': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_pose_preview,"scnbeventsChangeWorkEvent, toolsDialogLineEventDescriptor, toolsLookAtDescriptor",3,3,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1, 'toolsLookAtDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_17,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_18,scnbeventsStopWorkEvent,1,1,{'scnbeventsStopWorkEvent': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_19,"scnbeventsChangeWorkEvent, toolsLookAtDescriptor",2,2,"{'scnbeventsChangeWorkEvent': 1, 'toolsLookAtDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_we_delta,toolsDialogLineEventDescriptor,1,1,{'toolsDialogLineEventDescriptor': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_20,,0,0,
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_reminder_sit,toolsDialogLineEventDescriptor,1,1,{'toolsDialogLineEventDescriptor': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_reminder_help,toolsDialogLineEventDescriptor,1,1,{'toolsDialogLineEventDescriptor': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_reminder_dont_speak,toolsDialogLineEventDescriptor,1,1,{'toolsDialogLineEventDescriptor': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_22,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,lookat_01,toolsLookAtDescriptor,1,1,{'toolsLookAtDescriptor': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,lookat_02,toolsLookAtDescriptor,1,1,{'toolsLookAtDescriptor': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,facial_animation_01,toolsPlaySkAnimDescriptor,1,1,{'toolsPlaySkAnimDescriptor': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,facial_animation_02,toolsPlaySkAnimDescriptor,1,1,{'toolsPlaySkAnimDescriptor': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,facial_animation_03,toolsPlaySkAnimDescriptor,1,1,{'toolsPlaySkAnimDescriptor': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_lookat_03,toolsLookAtDescriptor,1,1,{'toolsLookAtDescriptor': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_23,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_24,scnbeventsStopWorkEvent,1,1,{'scnbeventsStopWorkEvent': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_24,,0,0,
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_25,"toolsChangeIdleAnimDescriptor, toolsLookAtDescriptor",2,2,"{'toolsLookAtDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_player_bowing,"scnbeventsSocketDescriptor, toolsPlaySkAnimDescriptor",2,2,"{'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_26,scnbeventsStopWorkEvent,1,1,{'scnbeventsStopWorkEvent': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_sama_faster,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",4,6,"{'toolsDialogLineEventDescriptor': 3, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsChangeWorkEvent': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_by_the_bar,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_27,"scnbeventsChangeWorkEvent, scnbeventsVFXEventDescriptor",2,2,"{'scnbeventsVFXEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_sit,"toolsDialogLineEventDescriptor, toolsLookAtDescriptor",2,3,"{'toolsDialogLineEventDescriptor': 2, 'toolsLookAtDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_28,scnbeventsCameraClipDescriptor,1,1,{'scnbeventsCameraClipDescriptor': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_28,scnbeventsCameraClipDescriptor,1,1,{'scnbeventsCameraClipDescriptor': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_29,,0,0,
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_30,scnbeventsStopWorkEvent,1,1,{'scnbeventsStopWorkEvent': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_31,scnbeventsStopWorkEvent,1,1,{'scnbeventsStopWorkEvent': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_32,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_33,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_hand_appear_elevator,scnbeventsVFXEventDescriptor,1,1,{'scnbeventsVFXEventDescriptor': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,scnbeventsChangeWorkEvent,1,2,{'scnbeventsChangeWorkEvent': 2}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_35,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_hand_disappear_elevator,scnbeventsVFXEventDescriptor,1,1,{'scnbeventsVFXEventDescriptor': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_hand_disappear_drink,scnbeventsVFXEventDescriptor,1,1,{'scnbeventsVFXEventDescriptor': 1}
